C=CC(=O)OCc1ccccc1,279
CC(OC(=O)C=C)CC,250
C=CC(=O)Oc1ccccc1C(C)(C)C,345
C=CC(=O)Oc1ccc(C(C)(C)C)cc1,344
C=CC(=O)Oc1ccc(cc1)Cl,331
C=CC(=O)Oc1ccc(C#N)cc1,317
C=CC(=O)OCCC#N,277
C=CC(=O)OCCCCCCC#N,358
C=CC(=O)OC(C)C#N,339
C=CC(=O)OCC(C)C(C)CC,258
CCCCCCCCCCCCOC(=O)C(=C)C,270
C=CC(=O)Oc1ccccc1C(=O)OCC,303
C=CC(=O)Oc1cccc(C(=O)OCC)c1,297
CCOC(=O)C=C,249
C=CC(=O)OF,288
C=CC(=O)OCC(F)(F)C(F)(F)C(=O)C(F)(F)F,218
C=CC(=O)OC(F)(C(F)(F)F)C(F)(F)F,283
C=CC(=O)OC(C)CCCCC,235
CCCCCCOC(=O)C=C,308
C=CC(=O)OCCCCCC,216
C=CC(=O)OCC(C)OC,217
C=CC(=O)Oc1cccc(C(=O)OC)c1,311
C=CC(=O)Oc1ccc(C(=O)OC)cc1,340
C=CC(=O)Oc1ccc(OC)cc1,324
C=CC(=O)Oc1ccc(CCCOC)cc1,198
C=CC(=O)OCC(C)CC,241
C=CC(=O)OCCC(C)C,228
C=CC(=O)OCC(C)CCC,235
C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,236
C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,238
C=CC(=O)OC(CC)CC,267
CC(=C)C(=O)OCCc1ccccc1,270
CCCOC(=O)C=C,236
C=CC(=O)OCCCCCCCCCCCCCC,297
C=CC(=O)OCCC(=O)C(F)(F)C(F)F,251
C=CC(=O)Oc1cccc(C)c1,298
C=CC(=O)Oc1ccccc1C,325
C=CC(=O)OCC(F)(F)F,263
C=CC(=O)OCCC(=O)CC(F)(F)F,235
C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,234
C=CC(=O)Oc1ccc(C(=O)OCCCC)cc1,286
C=CC(=O)OCCCC#N,233
C=CC(=O)OCCC(=O)CC#N,250
C=CC(=O)Oc1cccc(N(C)C)c1,320
C=CC(=O)Oc1ccc(C(=O)OCC)cc1,310
C=CC(=O)OCC(CC)CC,223
C=CC(=O)OCCC(=O)CC(F)(F)C(F)(F)C(F)(F)F,228
CCCCCCCOC(=O)C=C,213
C=CC(=O)OCC(F)(F)C(F)C(F)(F)F,251
C=CC(=O)Oc1ccccc1C(=O)OC,319
CCOCOC(=O)C(=C)C,223
C=CC(=O)OCCCCCCCCC,215
C=CC(=O)OCCCCC,216
CC(=C)C(=O)Oc1ccccc1,330
C=CC(=O)OCCC(=O)CCC(=O)C(F)(F)C(F)F,233
C=CC(=O)Oc1ccc(C)cc1,316
C=CC(=O)OCC(C#N)CCCCC,389
C=Cc2ccc(C(=O)c1ccccc1)cc2,371
C=Cc1ccccc1C(=O)OCCCC,339
C=Cc1cc(C(C)(C)C)ccc1C,360
C=Cc1ccc(C(C)CCC)cc1,359
C=Cc1ccc(C(=O)CCC)cc1,347
C=Cc1ccc(C(=O)N(CC)CC)cc1,375
C=Cc1ccccc1CCOC,347
C=Cc1ccc(C(=O)CCCCC)cc1,339
C=Cc1ccccc1C(=O)OCCCCCC,318
C=Cc1ccc(C(=O)OCCCCCC)cc1,339
C=Cc1ccc(COCC(O)CC)cc1,319
C=Cc2ccc(/C(Cc1ccccc1)=N/O)cc2,384
C=Cc1ccc(C(=O)OCC(C)C)cc1,363
C=Cc1ccccc1COCC(C)(C)C,351
C=Cc1ccccc1COC(C)C,361
C=Cc1ccc(COC)cc1,350
C=Cc1ccc(C(=O)CCCCCCC)cc1,323
C=Cc2ccc(C(=O)Cc1ccccc1)cc2,351
C=Cc1ccc(C(=O)OCCC)cc1,365
C=Cc1ccc(OCCC)cc1,343
C=Cc2ccc(c1ccc(C)cc1)cc2,372
C=Cc1ccc(C(=O)CCCC)cc1,343
C=Cc1ccc(C(C)(O)CCCCC)cc1,364
C=Cc1ccc(OC)cc1C,358
C=Cc2ccc(Oc1ccccc1)cc2,373
C=CC(=O)Oc2ccc(c1ccccc1)cc2,383
CCCCOC(=O)C=C,219
CC(OC(=O)C=C)CC,250
C=CC(=O)Oc1ccccc1C(C)(C)C,345
C=CC(=O)Oc1ccc(C(C)(C)C)cc1,344
C=CC(=O)O/C/1=C/C=C\C=Cl1,326
C=CC(=O)Oc1ccc(C#N)cc1,317
C=CC(=O)OCC(C)C#N,324
C=CC(=O)OCCC#N,277
C=CC(=O)OC(C)C#N,339
CCCCCCCCCCCCOC(=O)C(=C)C,270
C=CC(=O)Oc1ccccc1C(=O)OCC,303
C=CC(=O)Oc1cccc(C(=O)OCC)c1,297
C=CC(=O)OCCCOCC,218
CCOC(=O)C=C,249
C=CC(=O)OF,288
C=CC(=O)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,243
C=CC(=O)OCC(F)(F)C(F)(F)C(=O)C(F)(F)F,218
C=CC(=O)OC(C)CCCCC,235
CCCCCCOC(=O)C=C,308
C=CC(=O)OCCCCCC,216
C=CC(=O)OCC(C)C,249
C=CC(=O)OCC(C)OC,217
C=CC(=O)Oc1cccc(C(=O)OC)c1,311
C=CC(=O)Oc1ccc(OC)cc1,324
C=CC(=O)Oc1ccc(CCCOC)cc1,198
C=CC(=O)OCC(C)CC,241
C=CC(=O)OCC(C)CCC,235
C=CC(=O)OCC(F)(F)C(F)(F)C(=O)C(F)(F)C(F)(F)F,224
C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,236
C=CC(=O)OCC(F)(F)C(F)(F)F,247
C=CC(=O)OC(CC)CC,267
CCCOC(=O)C=C,236
C=CC(=O)OCCCCCCCCCCCCCC,297
C=CC(=O)OCCC(=O)C(F)(F)C(F)F,251
C=CC(=O)Oc1cccc(C)c1,298
C=CC(=O)Oc1ccccc1C,325
C=CC(=O)OCC(F)(F)F,263
C=CC(=O)OCCC(=O)CC(F)(F)F,235
C=CC(=O)OCC(F)(F)C(F)(F)C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,205
C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,234
C=CC(=O)Oc1ccc(C(=O)OCCCC)cc1,286
C=CC(=O)Oc1ccc(Cl)cc1Cl,333
C=CC(=O)OCCCC#N,233
C=CC(=O)OCCC(=O)CC#N,250
C=CC(=O)Oc1cccc(N(C)C)c1,320
C=CC(=O)OCCOCC,223
C=CC(=O)OCC(CC)CC,223
C=CC(=O)OCCC(=O)CC(F)(F)C(F)(F)C(F)(F)F,228
CCCCCCCOC(=O)C=C,213
C=CC(=O)OCC(F)(F)C(F)C(F)(F)F,251
CC(C)OC(=O)C=C,270
C=CC(=O)Oc1ccccc1C(=O)OC,319
C=CC(=O)OCCCCCCCCC,215
CC(=C)C(=O)Oc1ccccc1,330
C=CC(=O)OCCC(=O)CCC(=O)C(F)(F)C(F)F,233
C=CC(=O)Oc1ccc(C)cc1,316
C=CC(=O)OCC(C#N)CCCCC,389
C=Cc2ccc(C(=O)c1ccccc1)cc2,371
C=Cc1ccccc1C(=O)OCCCC,339
C=Cc1ccc(C(=O)OCCCC)cc1,349
C=Cc1cc(C(C)(C)C)ccc1C,360
C=Cc1ccc(C(C)CCC)cc1,359
C=Cc1ccc(C(=O)CCC)cc1,347
C=Cc1ccc(C(=O)N(CC)CC)cc1,375
C=Cc1ccc(C(=O)OCC)cc1,367
C=Cc1ccccc1CCOC,347
C=Cc1ccccc1C(=O)OCCCCCC,318
C=Cc1ccc(C(=O)OCCCCCC)cc1,339
C=Cc1ccc(COCC(O)CC)cc1,319
C=Cc2ccc(/C(Cc1ccccc1)=N/O)cc2,384
C=Cc1ccc(C(=O)OCC(C)C)cc1,363
C=Cc1ccccc1C(=O)OCC(C)(C)C,341
C=Cc1ccccc1COCC(C)(C)C,351
C=Cc1ccc(C(=O)OC(C)C)cc1,368
C=Cc1ccccc1COC(C)C,361
C=Cc1ccc(C(=O)CCCCCCC)cc1,323
C=Cc2ccc(C(=O)Cc1ccccc1)cc2,351
C=Cc1ccc(C(=O)OCCC)cc1,365
C=Cc1ccc(OCCC)cc1,343
C=Cc2ccc(c1ccc(C)cc1)cc2,372
C=Cc2ccc(Cc1ccc(OC)cc1)cc2,376
C=Cc1ccc(C(C)(O)CCCCC)cc1,364
C=Cc1ccc(OC)cc1C,358
C=Cc1ccccc1OC,348
C=Cc2ccc(Oc1ccccc1)cc2,373
C=Cc1ccccc1,373
C=Cc1ccc(cc1)F,376
C=Cc1cc(F)ccc1F,374
C=Cc1ccc(cc1)Cl,398
OC(=O)C=C,374
FC(F)C(F)(F)COC(=O)C(=C),249
C=CC(=O)OC(C)(C)C,311
CCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)C=C,311
CCCCCCCCOC(=O)C=C,208
CCCCC(COC(=O)C=C)CC,221
C=CC(=O)OC1CCCCC1,289
C=CC(=O)OCC#N,296
CCOC(=O)C(=C)Cl,366
CCCCOC(=O)C(=C)Cl,330
C=CC(=O)NC(C)(C)C,401
CCCCCCCCNC(=O)C=C,220
C=CC(=O)NC(C)C,403
OC(=N)C=C,438
C=CC#N,383
CC(=C)C#N,388
CCCCOC(=O)C(=C)C#N,374
CCCCCCOC(=O)C(=C)C#N,359
FC(=C)F,242
FC(=C(F)F)Cl,360
OC(=O)c1ccc(cc1)C(=O)O.OCCCO,327
OC(=O)CCC(=O)O.OCCCO,232
OC(=O)CCCCC(=O)O.OCCCO,215
OC(=O)C(O)C,332
CC1CC(=O)O1,276
OC(=O)CCC(=O)O.OCCCCCCO,220
OC(=O)CCCCCCCCC(=O)O.OCCCCCCO,213
O=C1OCC(=O)OC1,312
OC(=O)c1ccc(cc1)C(=O)O.OCCO,344
OC(=O)c1ccccc1C(=O)O.OCCO,297
OC(=O)c1cccc(c1)C(=O)O.OCCO,324
OC(=O)c1ccc(cc1)C(=O)O.OCC1CCC(CC1)CO,364
O=C1CCCCCO1,208
OC(=O)CCC(=O)O.OCCO,267
OC(=O)CCCCCCCCC(=O)O.OCCO,244
OC(=O)c1ccc(cc1)C(=O)O.OCCCCO,313
OC(=O)CCCCCCCCC(=O)O.OCCCCO,214
OC(=O)c1cccc(c1)C(=O)O.OCCCCO,297
OC(=O)CCCCC(=O)O.OCCCCO,202
OC(=O)c1cc(ccc1)C(=O)O.Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O,462
C1C(CO1)(CCl)CCl,272
C1CCO1,197
C1CCCO1,189
CC1CO1,200
C1COCO1,209
CCCCCCOCC1CO1,189
C1CCCCOC1,204
O1CC1,225
ClCC1CO1,252
CCCCOCC1CO1,194
C=O,211
CC(c1ccc(cc1)O)(c1ccc(cc1)O)C.Clc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Cl,459
Oc1ccc(cc1)c1ccc(cc1)O.Clc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Cl,482
Clc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Cl.Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)O,489
Oc1ccc(cc1)O.Clc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Cl,479
CC=C.[C-]#[O+],312
c1cc(ccc1C(=O)Cl)C(=O)Cl.c1ccc(cc1)Oc2ccccc2,437
C=CC=C,268
CCC=CC=C,197
CC=CC=C,204
C1CC=CC1,178
NCCCCCCCCCN.ClC(=O)c1ccc(cc1)C(=O)Cl,394
Nc1cc(ccc1)N.ClC(=O)c1cc(ccc1)C(=O)Cl,537
Nc1ccc(cc1)N.ClC(=O)c1ccc(cc1)C(=O)Cl,600
OC(=O)CCCCCCCCC(=O)O.NCCCCCCCCCCN,323
NCCCCCCN.OC(=O)CCCCCCCCCCC(=O)O,319
OC(=O)CCCCCCCCC(=O)O.NCCCCCCN,323
OC(=O)CCCCCCCC(=O)O.NCCCCCCN,332
NCCCCCCN.OC(=O)CCCCC(=O)O,324
NCCCCCCCCCCCC(=O)O,313
NCCCCCCCCCC(=O)O,315
O=C1CCCCCN1,324
C1CNC1=O,384
COCC1CO1,211
C=C.[C-]#[O+],291
C=Cc1ccc(CCOC)cc1,359
C=CC(=O)Oc2ccc(c1ccccc1)cc2,383
C=CC(=O)O/C/1=C/C=C\C=Cl1,326
C=CC(=O)OCCCOCC,218
C=CC(=O)OCC(C)C,249
C=CC(=O)OCC(F)(F)C(F)(F)C(=O)C(F)(F)C(F)(F)F,224
C=CC(=O)OCC(F)(F)C(F)(F)C(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,205
C=CC(=O)Oc1ccc(Cl)cc1Cl,333
CC(C)OC(=O)C=C,270
C=Cc1ccc(CCOC)cc1,359
C=Cc1ccc(C(=O)OC(C)C)cc1,368
C=Cc2ccc(Cc1ccc(OC)cc1)cc2,376
C=CC(=O)OCc1ccccc1,279
C=CC(=O)OCC(C)C(C)CC,258
C=CC(=O)OCCC(C)C,228
CC(=C)C(=O)OCCc1ccccc1,270
C=CC(=O)Oc1ccc(C(=O)OCC)cc1,310
C=Cc1ccc(COC)cc1,350
C=Cc1ccc(cc1)Br,411
C=CC(=O)NC(C)CC,390
CCCCCCCCOC(=O)C(=C)C#N,322
OC(=O)c1ccc2c(c1)ccc(c2)C(=O)O.OCCO,392
OC(=O)CCC(=O)O.OCCCCO,237
C=CC(=O)OC(F)(C(F)(F)F)C(F)(F)F,283
CCCOC(=O)C(=C)Cl,344
